day_utc,rows,finite_F_minutes,finite_flow_speed_minutes,finite_SYM_H_minutes,daily_min_SYM_H_nT,daily_max_SYM_H_nT,abs_daily_min_SYM_H,daily_SYM_H_interdecile_range,daily_F_median_nT,daily_F_interdecile_range,daily_flow_speed_median_km_s,daily_flow_speed_interdecile_range,median_percent_interp,maximum_percent_interp
2024-03-01 00:00:00+00:00,1440,1405,725,1440,-32.0,10.0,32.0,15.0,4.24,1.2900000000000005,370.9,58.28000000000003,80.0,100.0
2024-03-02 00:00:00+00:00,1440,1411,839,1440,-18.0,0.0,18.0,13.0,3.33,1.5299999999999998,300.0,49.0,100.0,100.0
2024-03-03 00:00:00+00:00,1440,1420,1041,1440,-128.0,40.0,128.0,134.0,10.620000000000001,14.369999999999997,332.5,71.10000000000002,60.0,100.0
2024-03-04 00:00:00+00:00,1440,1429,877,1440,-94.0,-36.0,94.0,33.0,11.32,3.2720000000000002,354.6,46.379999999999995,0.0,100.0
2024-03-05 00:00:00+00:00,1440,1390,943,1440,-45.0,-14.0,45.0,18.0,6.015,3.0710000000000006,386.8,30.660000000000025,25.0,100.0
2024-03-06 00:00:00+00:00,1440,1400,1007,1440,-34.0,-1.0,34.0,18.0,5.765,1.8600000000000003,399.5,66.30000000000001,75.0,100.0
2024-03-07 00:00:00+00:00,1440,1351,956,1440,-39.0,10.0,39.0,27.0,4.87,4.17,404.85,30.399999999999977,19.0,100.0
2024-03-08 00:00:00+00:00,1440,1385,758,1440,-37.0,-6.0,37.0,18.0,5.55,1.9299999999999997,475.25,84.99000000000001,50.0,100.0
2024-03-09 00:00:00+00:00,1440,1402,962,1440,-31.0,-10.0,31.0,12.0,4.85,1.4590000000000005,444.05,53.29000000000002,80.0,100.0
2024-03-10 00:00:00+00:00,1440,1369,719,1440,-24.0,-6.0,24.0,13.0,3.85,1.0620000000000007,423.7,43.10000000000002,40.0,100.0
2024-03-11 00:00:00+00:00,1440,1394,1049,1440,-20.0,3.0,20.0,13.0,3.86,3.1069999999999998,378.7,40.01999999999998,9.5,100.0
2024-03-12 00:00:00+00:00,1440,1385,958,1440,-16.0,3.0,16.0,12.0,4.59,2.1160000000000014,385.0,25.460000000000036,50.0,100.0
2024-03-13 00:00:00+00:00,1440,1379,957,1440,-36.0,4.0,36.0,22.0,6.55,2.152,384.8,24.80000000000001,33.0,100.0
2024-03-14 00:00:00+00:00,1440,1405,845,1440,-18.0,0.0,18.0,10.0,7.35,1.6260000000000003,406.7,45.920000000000016,40.0,100.0
2024-03-15 00:00:00+00:00,1440,1384,870,1440,-24.0,1.0,24.0,18.0,4.745,1.4669999999999996,404.2,51.39999999999998,50.0,100.0
2024-03-16 00:00:00+00:00,1440,1406,739,1440,-9.0,2.0,9.0,9.0,3.86,0.5,379.6,57.89999999999998,88.0,100.0
2024-03-17 00:00:00+00:00,1440,1428,1097,1440,-2.0,7.0,2.0,6.0,3.61,0.77,336.2,38.379999999999995,100.0,100.0
2024-03-18 00:00:00+00:00,1440,1420,1169,1440,-17.0,10.0,17.0,5.0,4.55,4.494000000000004,300.5,49.0,0.0,100.0
2024-03-19 00:00:00+00:00,1440,1421,1126,1440,-30.0,-7.0,30.0,15.0,4.89,4.199999999999999,364.3,27.44999999999999,89.0,100.0
2024-03-20 00:00:00+00:00,1440,1369,1047,1440,-8.0,8.0,8.0,11.0,5.46,1.7320000000000002,337.9,53.539999999999964,40.0,100.0
2024-03-21 00:00:00+00:00,1440,1428,1026,1440,-81.0,30.0,81.0,86.0,9.79,9.142999999999999,353.8,55.75,0.0,100.0
2024-03-22 00:00:00+00:00,1440,1416,905,1440,-54.0,-6.0,54.0,25.0,8.57,2.250000000000001,351.1,26.45999999999998,0.0,100.0
2024-03-23 00:00:00+00:00,1440,1380,1105,1440,-92.0,21.0,92.0,81.10000000000014,9.35,9.042000000000002,365.5,146.08000000000004,29.0,100.0
2024-03-24 00:00:00+00:00,1440,1422,1096,1440,-174.0,8.0,174.0,84.0,8.79,24.329,539.9,356.45,25.0,100.0
2024-03-25 00:00:00+00:00,1440,1436,1189,1440,-89.0,-11.0,89.0,33.0,6.995,19.055,735.1,157.89999999999998,0.0,100.0
2024-03-26 00:00:00+00:00,1440,1388,1053,1440,-58.0,-20.0,58.0,24.0,3.78,3.22,612.4,76.94000000000005,100.0,100.0
2024-03-27 00:00:00+00:00,1440,428,374,1440,-35.0,-9.0,35.0,13.0,3.89,1.33,495.3,33.370000000000005,0.0,100.0
2024-03-28 00:00:00+00:00,1440,1211,1049,1440,-24.0,14.0,24.0,14.0,2.62,2.3,447.2,66.62,100.0,100.0
2024-03-29 00:00:00+00:00,1440,931,749,1440,-16.0,14.0,16.0,12.0,2.43,1.3299999999999998,379.6,36.0,100.0,100.0
2024-03-30 00:00:00+00:00,1440,1245,904,1440,-5.0,13.0,5.0,11.0,6.42,8.726000000000003,341.0,62.910000000000025,20.0,100.0
2024-03-31 00:00:00+00:00,1440,1282,643,1440,-20.0,12.0,20.0,16.0,7.72,3.2689999999999992,477.9,117.30000000000001,0.0,100.0
2024-04-01 00:00:00+00:00,1440,1355,732,1440,-42.0,-4.0,42.0,24.0,6.47,2.1959999999999997,523.95,92.63999999999999,100.0,100.0
2024-04-02 00:00:00+00:00,1440,1429,695,1440,-24.0,-3.0,24.0,17.0,4.94,1.7000000000000002,428.6,44.19999999999999,0.0,100.0
2024-04-03 00:00:00+00:00,1440,1206,694,1440,-16.0,1.0,16.0,11.0,4.65,1.4800000000000004,404.3,75.87,67.0,100.0
2024-04-04 00:00:00+00:00,1440,1416,1170,1440,-22.0,22.0,22.0,29.0,7.82,4.5550000000000015,435.1,118.57000000000005,25.0,100.0
2024-04-05 00:00:00+00:00,1440,1415,958,1440,-29.0,-9.0,29.0,12.0,6.37,1.3100000000000005,413.85,55.13000000000005,100.0,100.0
2024-04-06 00:00:00+00:00,1440,1428,719,1440,-37.0,-10.0,37.0,15.0,5.98,2.7829999999999995,428.5,43.24000000000001,50.0,100.0
2024-04-07 00:00:00+00:00,1440,1402,668,1440,-20.0,-3.0,20.0,12.0,4.09,1.4899999999999998,392.1,43.81999999999999,37.5,100.0
2024-04-08 00:00:00+00:00,1440,1403,882,1440,-29.0,-2.0,29.0,14.0,5.46,2.8379999999999996,360.9,34.73000000000002,0.0,100.0
